id,name,characterId
23001049,"ELECTRIC SHUFFLE",16000098
23001050,"NOW YOU SEE ME...",16000098
23001062,"BOTTOMLESS MAGS",16000099
23001063,"YOU ONLY BRAWL TWICE",16000099
23001070,"LONGER STRINGS",16000100
23001071,"DISAPPEARING ACT",16000100
23001183,"SLIPPERY SAVIOR",16000101
23001184,"MORE LUMENS!",16000101
23001191,"A STARR IS BORN",16000102
23001192,"MASTER OF SHADOWS",16000102
23001218,"POISON PUDDLES",16000103
23001219,"NAJIA JAR",16000103
23001247,"SPIRITUAL HEALING",16000104
23001248,"WALL OF SOUND",16000104
23001255,"FLOATY TIME",16000105
23001256,"SHINING STARR OF FRIENDSHIP AND JUSTICE",16000105
23001281,"OIL CHANGE",16000106
23001282,"BOUNCY BALL",16000106
