id, name,disabled,arriving_soon,arriving_time,image_src,rarity
16000039, COLETTE,,,,./assets/brawler_portraits/16000039.png,epic
16000040, AMBER,,,,./assets/brawler_portraits/16000040.png,legendary
16000041, LOU,,,,./assets/brawler_portraits/16000041.png,mythic
16000042, BYRON,,,,./assets/brawler_portraits/16000042.png,mythic
16000043, EDGAR,,,,./assets/brawler_portraits/16000043.png,epic
16000044, RUFFS,,,,./assets/brawler_portraits/16000044.png,
16000045, STU,,,,./assets/brawler_portraits/16000045.png,common
16000046, BELLE,,,,./assets/brawler_portraits/16000046.png,epic
16000047, SQUEAK,,,,./assets/brawler_portraits/16000047.png,mythic
16000048, GROM,,,,./assets/brawler_portraits/16000048.png,epic
16000049, BUZZ,,,,./assets/brawler_portraits/16000049.png,mythic
16000050, GRIFF,,,,./assets/brawler_portraits/16000050.png,epic
16000051, ASH,,,,./assets/brawler_portraits/16000051.png,epic
16000052, MEG,,,,./assets/brawler_portraits/16000052.png,legendary
16000053, LOLA,,,,./assets/brawler_portraits/16000053.png,epic
16000054, FANG,,,,./assets/brawler_portraits/16000054.png,mythic
16000056, EVE,,,,./assets/brawler_portraits/16000056.png,mythic
16000057, JANET,,,,./assets/brawler_portraits/16000057.png,mythic
16000058, BONNIE,,,,./assets/brawler_portraits/16000058.png,epic
16000059, OTIS,,,,./assets/brawler_portraits/16000059.png,mythic
16000060, SAM,,,,./assets/brawler_portraits/16000060.png,epic
16000061, GUS,,,,./assets/brawler_portraits/16000061.png,super_rare
16000062, BUSTER,,,,./assets/brawler_portraits/16000062.png,mythic
16000063, CHESTER,,,,./assets/brawler_portraits/16000063.png,legendary
16000064, GRAY,,,,./assets/brawler_portraits/16000064.png,mythic
16000065, MANDY,,,,./assets/brawler_portraits/16000065.png,epic
16000066, R-T,,,,./assets/brawler_portraits/16000066.png,mythic
16000067, WILLOW,,,,./assets/brawler_portraits/16000067.png,mythic
16000068, MAISIE,,,,./assets/brawler_portraits/16000068.png,epic
16000069, HANK,,,,./assets/brawler_portraits/16000069.png,epic
16000070, CORDELIUS,,,,./assets/brawler_portraits/16000070.png,legendary
16000071, DOUG,,,,./assets/brawler_portraits/16000071.png,mythic
16000072, PEARL,,,,./assets/brawler_portraits/16000072.png,epic
16000073, CHUCK,,,,./assets/brawler_portraits/16000073.png,mythic
16000074, CHARLIE,,,,./assets/brawler_portraits/16000074.png,mythic
16000075, MICO,,,,./assets/brawler_portraits/16000075.png,mythic
16000076, KIT,,,,./assets/brawler_portraits/16000076.png,legendary
16000077, LARRY & LAWRIE,,,,./assets/brawler_portraits/16000077.png,epic
16000078, MELODIE,,,,./assets/brawler_portraits/16000078.png,mythic
16000079, ANGELO,,,,./assets/brawler_portraits/16000079.png,epic
16000080, DRACO,,,,./assets/brawler_portraits/16000080.png,legendary
16000081, LILY,,,,./assets/brawler_portraits/16000081.png,mythic
16000082, BERRY,,,,./assets/brawler_portraits/16000082.png,epic
16000083, CLANCY,,,,./assets/brawler_portraits/16000083.png,mythic
16000084, MOE,,,,./assets/brawler_portraits/16000084.png,mythic
16000085, KENJI,,,,./assets/brawler_portraits/16000085.png,legendary
16000086, SHADE,,,,./assets/brawler_portraits/16000086.png,epic
16000087, JUJU,,,,./assets/brawler_portraits/16000087.png,mythic
16000089, MEEPLE,,,,./assets/brawler_portraits/16000089.png,epic
16000090, OLLIE,,,,./assets/brawler_portraits/16000090.png,mythic
16000091, LUMI,,,,./assets/brawler_portraits/16000091.png,mythic
16000092, FINX,,,,./assets/brawler_portraits/16000092.png,mythic
16000093, JAE-YONG,,,,./assets/brawler_portraits/16000093.png,mythic
16000094, KAZE,,,,./assets/brawler_portraits/16000094.png,ultra_legendary
16000095, ALLI,,,,./assets/brawler_portraits/16000095.png,mythic
16000096, TRUNK,,,,./assets/brawler_portraits/16000096.png,epic
16000097, MINA,,,,./assets/brawler_portraits/16000097.png,mythic
16000098, ZIGGY,,,,./assets/brawler_portraits/16000098.png,mythic
16000099, PIERCE,,,,./assets/brawler_portraits/16000099.png,legendary
16000100, GIGI,,,,./assets/brawler_portraits/16000100.png,mythic
16000101, GLOWY,,,,./assets/brawler_portraits/16000101.png,
16000102, SIRIUS,,,,./assets/brawler_portraits/16000102.png,
16000103, NAJIA,,,,./assets/brawler_portraits/16000103.png,mythic
16000104, DAMIAN,,,,./assets/brawler_portraits/16000104.png,mythic
16000105, STARR NOVA,,,,./assets/brawler_portraits/16000105.png,mythic
16000106, BOLT,,,,./assets/brawler_portraits/16000106.png,epic
16000107, NORI,,,,./assets/brawler_portraits/16000107.png,legendary
16000108, WENDY,,,,./assets/brawler_portraits/16000108.png,mythic
16000109, COSMO,,true,,./assets/brawler_portraits/16000109.png,mythic
16000110, VINCE,,true,,./assets/brawler_portraits/16000110.png,mythic
