id,name,characterId
23000543,"IN MY SIGHTS",16000065
23000544,"HARD CANDY",16000065
23000553,"QUICK MATHS",16000066
23000554,"RECORDING",16000066
23000561,"LOVE IS BLIND",16000067
23000562,"OBSESSION",16000067
23000569,"PINPOINT PRECISION",16000068
23000570,"TREMORS",16000068
23000577,"IT'S GONNA BLOW",16000069
23000578,"TAKE COVER!",16000069
23000585,"COMBOSHROOMS",16000070
23000586,"MUSHROOM KINGDOM",16000070
23000593,"FAST FOOD",16000071
23000594,"SELF SERVICE",16000071
23000601,"HEAT RETENTION",16000072
23000602,"HEAT SHIELD",16000072
23000609,"PIT STOP",16000073
23000610,"TICKETS PLEASE!",16000073
23000623,"DIGESTIVE",16000074
23000624,"SLIMY",16000074
23000637,"MONKEY BUSINESS",16000075
23000638,"RECORD SMASH",16000075
23000646,"POWER HUNGRY",16000076
23000647,"OVERLY ATTACHED",16000076
23000659,"PROTOCOL: PROTECT",16000077
23000660,"PROTOCOL: ASSIST",16000077
23000667,"FAST BEATS",16000078
23000668,"EXTENDED MIX",16000078
23000675,"EMPOWER",16000079
23000676,"FLOW",16000079
23000734,"EXPOSE",16000080
23000735,"SHREDDING",16000080
23000752,"SPIKY",16000081
23000753,"VIGILANCE",16000081
23000764,"FLOOR IS FINE",16000082
23000765,"MAKING A MESS",16000082
23000772,"RECON",16000083
23000773,"PUMPING UP",16000083
23000804,"SKIPPING STONES",16000084
23000805,"SPEEDING TICKET",16000084
23000815,"STUDIED THE BLADE",16000085
23000816,"NIGIRI NEMESIS",16000085
23000832,"SPOOKY SPEEDSTER",16000086
23000833,"HARDENED HOODIE",16000086
23000848,"GUARDED GRIS-GRIS",16000087
23000849,"NUMBING NEEDLES",16000087
23000875,"DO NOT PASS GO",16000089
23000876,"RULE BENDING",16000089
23000883,"KICK, PUSH",16000090
23000884,"RENEGADE",16000090
23000905,"42% BURNT",16000091
23000906,"HALF-TIME",16000091
23000915,"HIEROGLYPH HALT",16000092
23000916,"PRIMER",16000092
23000929,"THE CROWD GOES MILD",16000093
23000930,"EXTRA HIGH NOTE",16000093
23000938,"ADVANCED TECHNIQUES",16000094
23000939,"GRATUITY INCLUDED",16000094
23000989,"LIZARD LIMBS",16000095
23000990,"YOU BETTER RUN, YOU BETTER TAKE COVER",16000095
23000998,"NEW INSECT OVERLORDS",16000096
23000999,"COLONY SCOUTS",16000096
23001039,"ZUM ZUM ZUM",16000097
23001040,"BLOWN AWAY",16000097
23001047,"THUNDERSTRUCK",16000098
23001048,"THE GREAT ZIGGINI",16000098
23001060,"MISSION: SWIMPOSSIBLE",16000099
23001061,"SLIP 'N SNIPE",16000099
23001068,"PLIÉ PROTECTION",16000100
23001069,"A HELPING HAND",16000100
23001181,"BIOTIC ECOSYSTEM",16000101
23001182,"PARASITISM",16000101
23001189,"DUSK RUNNERS",16000102
23001190,"THE DARKEST STARR",16000102
23001216,"POISONOUS PROTECTOR",16000103
23001217,"VENOMOUS",16000103
23001245,"CROWDKILL",16000104
23001246,"VULGAR DISPLAY OF PUNCH",16000104
23001253,"POWER LEVEL: MAXIMUM",16000105
23001254,"MYSTICAL STARR TECHNIQUE",16000105
23001279,"TOSS UP",16000106
23001280,"UNSTOPPABALL",16000106
23001295,"BIG HAUL",16000107
23001296,"HIS MOTHER’S SON",16000107
23001318,"SLOWING SHIELD",16000108
23001319,"SOLAR SHIELD",16000108
